[2026-01-09 12:53:30.355] [INFO    ] [PERFORMANCE] [Thread-140586017235584] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:53:30.427] [INFO    ] [PERFORMANCE] [Thread-140586017235584] SearchByHashtag | 0.071s | FAILED
[2026-01-09 12:53:31.040] [INFO    ] [PERFORMANCE] [Thread-139814862537344] SearchByKeyword | 0.001s | FAILED
[2026-01-09 12:53:31.127] [INFO    ] [PERFORMANCE] [Thread-139814862537344] SearchByHashtag | 0.087s | FAILED
[2026-01-09 12:53:33.280] [INFO    ] [PERFORMANCE] [Thread-139689960469120] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:53:33.448] [INFO    ] [PERFORMANCE] [Thread-139689960469120] SearchByHashtag | 0.168s | FAILED
[2026-01-09 12:53:36.283] [INFO    ] [PERFORMANCE] [Thread-140586017235584] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:53:36.359] [INFO    ] [PERFORMANCE] [Thread-140586017235584] SearchByHashtag | 0.075s | FAILED
[2026-01-09 12:53:36.711] [INFO    ] [PERFORMANCE] [Thread-139814862537344] DiscoverTargets | 104.817s | SUCCESS
[2026-01-09 12:53:36.712] [INFO    ] [PERFORMANCE] [Thread-139814862537344] DiscoverAndPrioritizeTargets | 114.541s | FAILED
[2026-01-09 12:53:39.227] [INFO    ] [PERFORMANCE] [Thread-139689960469120] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:53:39.348] [INFO    ] [PERFORMANCE] [Thread-139689960469120] SearchByHashtag | 0.121s | FAILED
[2026-01-09 12:53:42.611] [INFO    ] [PERFORMANCE] [Thread-140586017235584] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:53:42.693] [INFO    ] [PERFORMANCE] [Thread-140586017235584] SearchByHashtag | 0.082s | FAILED
[2026-01-09 12:53:45.515] [INFO    ] [PERFORMANCE] [Thread-139689960469120] SearchByKeyword | 0.001s | FAILED
[2026-01-09 12:53:45.606] [INFO    ] [PERFORMANCE] [Thread-139689960469120] SearchByHashtag | 0.091s | FAILED
[2026-01-09 12:53:49.245] [INFO    ] [PERFORMANCE] [Thread-140586017235584] SearchByKeyword | 0.001s | FAILED
[2026-01-09 12:53:49.326] [INFO    ] [PERFORMANCE] [Thread-140586017235584] SearchByHashtag | 0.081s | FAILED
[2026-01-09 12:53:50.078] [INFO    ] [PERFORMANCE] [Thread-140286231380608] InitializeTikTokAPI | 20.870s | SUCCESS
[2026-01-09 12:53:50.079] [INFO    ] [PERFORMANCE] [Thread-140286231380608] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:53:50.165] [INFO    ] [PERFORMANCE] [Thread-140286231380608] SearchByHashtag | 0.086s | FAILED
[2026-01-09 12:53:50.779] [INFO    ] [PERFORMANCE] [Thread-139689960469120] SearchByKeyword | 0.001s | FAILED
[2026-01-09 12:53:50.875] [INFO    ] [PERFORMANCE] [Thread-139689960469120] SearchByHashtag | 0.095s | FAILED
[2026-01-09 12:53:57.178] [INFO    ] [PERFORMANCE] [Thread-140586017235584] SearchByKeyword | 0.001s | FAILED
[2026-01-09 12:53:57.248] [INFO    ] [PERFORMANCE] [Thread-140586017235584] SearchByHashtag | 0.070s | FAILED
[2026-01-09 12:54:00.129] [INFO    ] [PERFORMANCE] [Thread-140286231380608] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:54:00.195] [INFO    ] [PERFORMANCE] [Thread-140286231380608] SearchByHashtag | 0.066s | FAILED
[2026-01-09 12:54:00.279] [INFO    ] [PERFORMANCE] [Thread-139689960469120] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:54:00.522] [INFO    ] [PERFORMANCE] [Thread-139689960469120] SearchByHashtag | 0.242s | FAILED
[2026-01-09 12:54:01.695] [INFO    ] [PERFORMANCE] [Thread-140521661411968] DolphinX1_Setup | 0.208s | FAILED
[2026-01-09 12:54:05.475] [INFO    ] [PERFORMANCE] [Thread-140586017235584] SearchByKeyword | 0.001s | FAILED
[2026-01-09 12:54:05.579] [INFO    ] [PERFORMANCE] [Thread-140286231380608] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:54:05.611] [INFO    ] [PERFORMANCE] [Thread-140586017235584] SearchByHashtag | 0.135s | FAILED
[2026-01-09 12:54:05.646] [INFO    ] [PERFORMANCE] [Thread-140286231380608] SearchByHashtag | 0.066s | FAILED
[2026-01-09 12:54:05.652] [INFO    ] [PERFORMANCE] [Thread-139689960469120] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:54:05.798] [INFO    ] [PERFORMANCE] [Thread-139689960469120] SearchByHashtag | 0.145s | FAILED
[2026-01-09 12:54:11.887] [INFO    ] [PERFORMANCE] [Thread-139689960469120] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:54:11.989] [INFO    ] [PERFORMANCE] [Thread-139689960469120] SearchByHashtag | 0.101s | FAILED
[2026-01-09 12:54:13.735] [INFO    ] [PERFORMANCE] [Thread-140586017235584] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:54:13.812] [INFO    ] [PERFORMANCE] [Thread-140586017235584] SearchByHashtag | 0.077s | FAILED
[2026-01-09 12:54:15.052] [INFO    ] [PERFORMANCE] [Thread-140286231380608] SearchByKeyword | 0.001s | FAILED
[2026-01-09 12:54:15.130] [INFO    ] [PERFORMANCE] [Thread-140286231380608] SearchByHashtag | 0.078s | FAILED
[2026-01-09 12:54:17.762] [INFO    ] [PERFORMANCE] [Thread-139689960469120] DiscoverTargets | 100.337s | SUCCESS
[2026-01-09 12:54:17.763] [INFO    ] [PERFORMANCE] [Thread-139689960469120] DiscoverAndPrioritizeTargets | 118.826s | FAILED
[2026-01-09 12:54:18.720] [INFO    ] [PERFORMANCE] [Thread-139965946040960] DolphinX1_Setup | 0.113s | FAILED
[2026-01-09 12:54:20.200] [INFO    ] [PERFORMANCE] [Thread-140286231380608] SearchByKeyword | 0.001s | FAILED
[2026-01-09 12:54:20.276] [INFO    ] [PERFORMANCE] [Thread-140286231380608] SearchByHashtag | 0.076s | FAILED
